YEAR_MONTH,log1pVFRate,log1pFire,PRECIP,WIND_EventCount,WIND_AvgMPH,WIND_RunMiles,AQI_PM25,AQI_PM10,EARTHQUAKE_Total,log1pPESTICIDE,log1pRODENTICIDE,Avg_Monthly_DSCI
2014-10-01,2.1334687086371815,0.0,0.67,0.0,3.422580645,82.04193548,60.0,21.0,0,7.645748822904304,6.36403862727209,1388.4
2014-11-01,2.272525603113031,0.0,0.04,0.0,2.966666667,71.02666667,83.0,13.0,0,7.053116281498383,5.944649368869274,1388.4
2014-12-01,2.474843480914843,0.0,2.05,0.0,2.838709677,68.03225806,69.0,6.0,0,7.77125296992669,5.031594768326782,1388.4
2015-01-01,2.125937717973923,0.0,0.51,0.0,2.458064516,59.03870968,110.0,6.0,0,6.563626856806688,7.295960556145529,1388.4
2015-02-01,1.8641424405510199,0.0,1.14,0.0,2.310714286,55.55,84.5,9.0,1,7.116944346519282,6.918513600154877,1368.2875
2015-03-01,1.9484999511014502,0.0,0.28,0.0,2.035483871,48.92258065,57.0,18.0,0,7.638798274251057,6.580987758894949,1332.17
2015-04-01,1.932188155883175,0.0,0.2,0.0,2.893333333,69.34666667,54.5,25.0,0,7.760110233386921,5.925320738185155,1368.5
2015-05-01,1.809886148948859,0.0,0.7200000000000001,0.0,4.129032258,99.1483871,47.0,22.0,0,9.1867436942535,7.968779747268293,1368.5
2015-06-01,2.041149202714396,0.0,0.2,0.0,4.196666667,100.93,56.0,28.0,0,8.133653350251087,6.930379901094892,1368.5
2015-07-01,2.299626033707575,0.0,0.67,0.0,4.306451613,103.3903226,54.0,39.0,0,7.904148715979177,7.4977617006225685,1368.5
2015-08-01,2.5935334008458977,0.0,0.79,0.0,3.622580645,87.03225806,61.0,60.0,0,7.867288978541051,6.932972631920988,1368.5
2015-09-01,2.792958307222819,0.0,0.12,0.0,3.356666667,80.52,56.0,34.5,0,7.212306699398995,6.75542928340557,1368.5
2015-10-01,2.885859143019867,0.0,0.6,0.0,3.34516129,80.42258065,57.0,18.0,0,7.518730211748351,7.420976072038675,1368.5
2015-11-01,2.847096275206162,0.0,0.9,0.0,3.063333333,73.46333333,78.5,9.5,0,7.041516539222575,6.156798460817364,1368.5
2015-12-01,2.82039361142931,0.0,0.61,0.0,2.903225806,69.47419355,78.0,10.0,0,8.644017997472528,5.429957722288844,1368.5
